Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Peru,PER,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.79098842070488
Peru,PER,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.78241677083545
Peru,PER,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.46188419857603
Peru,PER,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.61583612032158
Peru,PER,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.57537885233698
Peru,PER,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.69345024692364
Peru,PER,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.4665016864237
Peru,PER,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.37746073943598
Peru,PER,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.47402816128087
Peru,PER,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.48128328344716
Peru,PER,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.74787186095969
Peru,PER,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.7557727838076
Peru,PER,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.61453222253604
Peru,PER,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.77852598467102
Peru,PER,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.91074823541241
Peru,PER,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.03465865822195
Peru,PER,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.12545283743765
Peru,PER,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.97758065304141
Peru,PER,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.81967960124639
Peru,PER,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.10161619535292
Peru,PER,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.09573216934819
Peru,PER,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.11257469928633
Peru,PER,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.37451658155697
Peru,PER,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.32677170155861
Peru,PER,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.40222806198856
Peru,PER,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.54527499721782
Peru,PER,2019,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,92.4505881978575
Peru,PER,2018,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,81.7999810962639
Peru,PER,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,80.4978446253519
Peru,PER,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,77.9748406920753
Peru,PER,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,76.6926886152959
Peru,PER,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,72.7675033986528
Peru,PER,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,69.9050122796372
Peru,PER,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,66.1668245840379
Peru,PER,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,61.302070694027
Peru,PER,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,55.6332369492124
Peru,PER,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,50.9597729271594
Peru,PER,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,45.4175547886952
Peru,PER,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,38.6892051637968
Peru,PER,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,31.0512444343772
Peru,PER,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,24.6324308408355
Peru,PER,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,20.8976891387846
Peru,PER,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,18.4972412151754
Peru,PER,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,19.4595774426854
Peru,PER,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,16.0957509870756
Peru,PER,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,11.089394385204
Peru,PER,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,18.3864207253345
Peru,PER,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,16.5817040125137
Peru,PER,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,11.5429583064255
Peru,PER,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.6576523999663
Peru,PER,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,7.19244862100369
Peru,PER,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.94329112557081
Peru,PER,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.76892056332457
Peru,PER,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,23.6399346948511
Peru,PER,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Peru,PER,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99
Peru,PER,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.9
Peru,PER,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.9
Peru,PER,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.874896
Peru,PER,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.880892
Peru,PER,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.779725
Peru,PER,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.629566
Peru,PER,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.376636
Peru,PER,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.142493
Peru,PER,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.476145
Peru,PER,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.041166
Peru,PER,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.809539
Peru,PER,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.160471
Peru,PER,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.65564
Peru,PER,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.305688
Peru,PER,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93.762531
Peru,PER,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93.830749
