Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Peru,PER,2020,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,50176078373.8539
Peru,PER,2019,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,63352690362.2345
Peru,PER,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,64891853578.1998
Peru,PER,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,60304621972.2648
Peru,PER,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,53372648502.535
Peru,PER,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,54257953495.4313
Peru,PER,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,59800254539.1143
Peru,PER,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,62900148802.3801
Peru,PER,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,62097494837.4024
Peru,PER,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,57604731770.7998
Peru,PER,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,46811463418.9982
Peru,PER,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,35410867974.3614
Peru,PER,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,44404201077.4069
Peru,PER,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,33557905660.4585
Peru,PER,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,26488091337.7339
Peru,PER,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,20630652256.5459
Peru,PER,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,16333677060.439
Peru,PER,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13098594052.9117
Peru,PER,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11403942642.5396
Peru,PER,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11069517215.002
Peru,PER,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11488818176.5047
Peru,PER,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10433716986.554
Peru,PER,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,12320374851.9384
Peru,PER,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13163600339.9373
Peru,PER,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,12285125018.4912
Peru,PER,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,12353723645.6425
Peru,PER,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,9130387610.58263
Peru,PER,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7239780367.19954
Peru,PER,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6933000000
Peru,PER,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6393000000
Peru,PER,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5987000000
Peru,PER,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5310520000
Peru,PER,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5667030000
Peru,PER,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5811330000
Peru,PER,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4915990000
Peru,PER,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3959000000
Peru,PER,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4364900000
Peru,PER,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4933000000
Peru,PER,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5962000000
Peru,PER,1981,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6112000000
Peru,PER,1980,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5080400000
Peru,PER,1979,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3535700000
Peru,PER,1978,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2663600000
Peru,PER,1977,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3123100000
Peru,PER,2020,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1582714767.97212
Peru,PER,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2153562774.97199
Peru,PER,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3915465463.67627
Peru,PER,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2668579556.44603
Peru,PER,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5064403888.2989
Peru,PER,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-9525850109.41212
Peru,PER,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-9085914699.8323
Peru,PER,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-10379598398.8522
Peru,PER,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-6090964811.70695
Peru,PER,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3373782035.11819
