#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
PER,Peru,38406,Multidimensional poverty index (MPI),0.0291864,2008-2019
PER,Peru,38506,"Population in multidimensional poverty, intensity of deprivation (%)",39.59169,2008-2019
PER,Peru,38606,"Population in multidimensional poverty, headcount (%)",7.371848,2008-2019
PER,Peru,39006,"Population living below income poverty line, national poverty line (%)",20.5,2008-2019
PER,Peru,43606,"Internet users, total (% of population)",52.5403,2018
PER,Peru,45806,Primary school teachers trained to teach (%),94.73621,2010-2019
PER,Peru,46006,Mobile phone subscriptions (per 100 people),123.76,2018
PER,Peru,46106,Primary school dropout rate (% of primary school cohort),6.90646,2008-2018
PER,Peru,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",17.38724,2010-2019
PER,Peru,52306,Research and development expenditure (% of GDP),0.12704,2014-2018
PER,Peru,52606,"Remittances, inflows (% of GDP)",1.46618,2014-2019
PER,Peru,53506,"Foreign direct investment, net inflows (% of GDP)",2.921888,2011-2019
PER,Peru,57806,"Mortality rate, female adult (per 1,000 people)",84.815,2014-2018
PER,Peru,57906,"Mortality rate, male adult (per 1,000 people)",146.37,2014-2018
PER,Peru,61006,"Homicide rate (per 100,000 people)",7.909223863,2013-2018
PER,Peru,63206,"Gross enrolment ratio, primary (% of primary school-age population)",106.94512,2014-2019
PER,Peru,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",106.44541,2014-2019
PER,Peru,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",70.73786,2014-2019
PER,Peru,65606,Gross fixed capital formation (% of GDP),21.16793913,2014-2019
PER,Peru,67106,"Income inequality, Gini coefficient",42.8,2010-2018
PER,Peru,97106,Fresh water withdrawals (% of total renewable water resources),0.86,2007-2017
PER,Peru,97306,Natural resource depletion (% of GNI),5.639029,2015-2018
PER,Peru,98306,"Child malnutrition, stunting (moderate or severe) (% under age 5)",12.1576,2010-2019
PER,Peru,99106,Net official development assistance received (% of GNI),0.2091261,2010-2018
PER,Peru,101006,Population in severe multidimensional poverty (%),1.082683,2008-2019
PER,Peru,101406,"Literacy rate, adult (% ages 15 and older)",94.40827,2008-2018
PER,Peru,102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",2358.199992,2008-2019
PER,Peru,111106,International inbound tourists (thousands),4419,2011-2018
PER,Peru,111306,Private capital flows (% of GDP),-1.772708,2010-2019
PER,Peru,117806,Contribution of deprivation in education to the Multidimensional Poverty Index,31.06732,2008-2019
PER,Peru,117906,Contribution of deprivation in health to the Multidimensional Poverty Index,15.699757,2008-2019
PER,Peru,118006,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,53.232931,2008-2019
PER,Peru,123506,"Estimated gross national income per capita, female (2017 PPP $)",9888.947352,2019
PER,Peru,123606,"Estimated gross national income per capita, male (2017 PPP $)",14646.96975,2019
PER,Peru,123806,Old-age pension recipients (% of statutory pension age population),49.4,2014-2019
PER,Peru,128106,Mandatory paid maternity leave (days),98,2019
PER,Peru,128306,"Prison population (per 100,000 people)",284.3,2013-2018
PER,Peru,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",103.51692,2014-2019
PER,Peru,133206,Exports and imports (% of GDP),47.12189,2010-2019
PER,Peru,135106,"Income inequality, quintile ratio",10.29787,2010-2017
PER,Peru,136906,"Human Development Index (HDI), female",0.759066869,2019
PER,Peru,137006,"Human Development Index (HDI), male",0.793096323,2019
PER,Peru,137906,Gender Development Index (GDI),0.957092912,2019
PER,Peru,142506,Population vulnerable to multidimensional poverty (%),9.60644,2008-2019
PER,Peru,149206,Government expenditure on education (% of GDP),3.71993,2013-2018
PER,Peru,149406,Homeless people due to natural disaster (average annual per million people),190.3015429,2009/2019
PER,Peru,164206,"Forest area, change (%)",-5.281761736,1990/2016
PER,Peru,164406,Adjusted net savings (% of GNI),6.592645,2015-2018
PER,Peru,167106,"Population living below income poverty line, PPP $1.90 a day (%)",2.6,2008-2018
