Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
PER,2019,EG.ELC.ACCS.ZS,98.3466033935547
PER,2018,EG.ELC.ACCS.ZS,95.2
PER,2017,EG.ELC.ACCS.ZS,94.8
PER,2016,EG.ELC.ACCS.ZS,94.2
PER,2015,EG.ELC.ACCS.ZS,93.852179
PER,2014,EG.ELC.ACCS.ZS,92.919989
PER,2013,EG.ELC.ACCS.ZS,92.135365
PER,2012,EG.ELC.ACCS.ZS,91.099508
PER,2011,EG.ELC.ACCS.ZS,89.707491
PER,2010,EG.ELC.ACCS.ZS,88.123061
PER,2009,EG.ELC.ACCS.ZS,86.42432
PER,2008,EG.ELC.ACCS.ZS,84.678343
PER,2007,EG.ELC.ACCS.ZS,81.988131
PER,2006,EG.ELC.ACCS.ZS,80.157275
PER,2005,EG.ELC.ACCS.ZS,77.173645
PER,2004,EG.ELC.ACCS.ZS,75.692357
PER,2003,EG.ELC.ACCS.ZS,74.380966
PER,2002,EG.ELC.ACCS.ZS,74.382688
PER,2001,EG.ELC.ACCS.ZS,72.113111
PER,2000,EG.ELC.ACCS.ZS,72.496495
PER,1999,EG.ELC.ACCS.ZS,74.078523
PER,1998,EG.ELC.ACCS.ZS,72.072063
PER,1997,EG.ELC.ACCS.ZS,69.16024
PER,1996,EG.ELC.ACCS.ZS,67
PER,1995,EG.ELC.ACCS.ZS,67.3548355102539
PER,1994,EG.ELC.ACCS.ZS,66.0529327392578
PER,1993,EG.ELC.ACCS.ZS,64.7489929199219
PER,1992,EG.ELC.ACCS.ZS,70.1
PER,2018,EG.FEC.RNEW.ZS,27.8973999023438
PER,2017,EG.FEC.RNEW.ZS,27.6040000915527
PER,2016,EG.FEC.RNEW.ZS,27.2106990814209
PER,2015,EG.FEC.RNEW.ZS,27.4379997253418
PER,2014,EG.FEC.RNEW.ZS,28.5688991546631
PER,2013,EG.FEC.RNEW.ZS,28.3526000976563
PER,2012,EG.FEC.RNEW.ZS,30.7961006164551
PER,2011,EG.FEC.RNEW.ZS,30.6333999633789
PER,2010,EG.FEC.RNEW.ZS,32.1669998168945
PER,2009,EG.FEC.RNEW.ZS,32.9168014526367
PER,2008,EG.FEC.RNEW.ZS,33.709098815918
PER,2007,EG.FEC.RNEW.ZS,36.0481986999512
PER,2006,EG.FEC.RNEW.ZS,38.6967010498047
PER,2005,EG.FEC.RNEW.ZS,38.3468017578125
PER,2004,EG.FEC.RNEW.ZS,37.8308982849121
PER,2003,EG.FEC.RNEW.ZS,40.9118003845215
PER,2002,EG.FEC.RNEW.ZS,40.2070999145508
PER,2001,EG.FEC.RNEW.ZS,41.2309989929199
PER,2000,EG.FEC.RNEW.ZS,38.5722999572754
PER,1999,EG.FEC.RNEW.ZS,30.6801285582867
PER,1998,EG.FEC.RNEW.ZS,32.6922895098684
PER,1997,EG.FEC.RNEW.ZS,31.7398884822982
PER,1996,EG.FEC.RNEW.ZS,31.7145352264847
PER,1995,EG.FEC.RNEW.ZS,33.282985370877
PER,1994,EG.FEC.RNEW.ZS,35.9349758154901
PER,1993,EG.FEC.RNEW.ZS,37.0792617049946
PER,1992,EG.FEC.RNEW.ZS,37.3077712492969
PER,1991,EG.FEC.RNEW.ZS,39.913113738396
PER,1990,EG.FEC.RNEW.ZS,39.4258282036508
PER,2017,IC.ELC.DURS,79
PER,2010,IC.ELC.DURS,33.4
PER,2006,IC.ELC.DURS,81.6
