Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
PER,2020,BM.GSR.TOTL.CD,50176078373.8539
PER,2019,BM.GSR.TOTL.CD,63352690362.2345
PER,2018,BM.GSR.TOTL.CD,64891853578.1998
PER,2017,BM.GSR.TOTL.CD,60304621972.2648
PER,2016,BM.GSR.TOTL.CD,53372648502.535
PER,2015,BM.GSR.TOTL.CD,54257953495.4313
PER,2014,BM.GSR.TOTL.CD,59800254539.1143
PER,2013,BM.GSR.TOTL.CD,62900148802.3801
PER,2012,BM.GSR.TOTL.CD,62097494837.4024
PER,2011,BM.GSR.TOTL.CD,57604731770.7998
PER,2010,BM.GSR.TOTL.CD,46811463418.9982
PER,2009,BM.GSR.TOTL.CD,35410867974.3614
PER,2008,BM.GSR.TOTL.CD,44404201077.4069
PER,2007,BM.GSR.TOTL.CD,33557905660.4585
PER,2006,BM.GSR.TOTL.CD,26488091337.7339
PER,2005,BM.GSR.TOTL.CD,20630652256.5459
PER,2004,BM.GSR.TOTL.CD,16333677060.439
PER,2003,BM.GSR.TOTL.CD,13098594052.9117
PER,2002,BM.GSR.TOTL.CD,11403942642.5396
PER,2001,BM.GSR.TOTL.CD,11069517215.002
PER,2000,BM.GSR.TOTL.CD,11488818176.5047
PER,1999,BM.GSR.TOTL.CD,10433716986.554
PER,1998,BM.GSR.TOTL.CD,12320374851.9384
PER,1997,BM.GSR.TOTL.CD,13163600339.9373
PER,1996,BM.GSR.TOTL.CD,12285125018.4912
PER,1995,BM.GSR.TOTL.CD,12353723645.6425
PER,1994,BM.GSR.TOTL.CD,9130387610.58263
PER,1993,BM.GSR.TOTL.CD,7239780367.19954
PER,1992,BM.GSR.TOTL.CD,6933000000
PER,1991,BM.GSR.TOTL.CD,6393000000
PER,1990,BM.GSR.TOTL.CD,5987000000
PER,1989,BM.GSR.TOTL.CD,5310520000
PER,1988,BM.GSR.TOTL.CD,5667030000
PER,1987,BM.GSR.TOTL.CD,5811330000
PER,1986,BM.GSR.TOTL.CD,4915990000
PER,1985,BM.GSR.TOTL.CD,3959000000
PER,1984,BM.GSR.TOTL.CD,4364900000
PER,1983,BM.GSR.TOTL.CD,4933000000
PER,1982,BM.GSR.TOTL.CD,5962000000
PER,1981,BM.GSR.TOTL.CD,6112000000
PER,1980,BM.GSR.TOTL.CD,5080400000
PER,1979,BM.GSR.TOTL.CD,3535700000
PER,1978,BM.GSR.TOTL.CD,2663600000
PER,1977,BM.GSR.TOTL.CD,3123100000
PER,2020,BN.CAB.XOKA.CD,1582714767.97212
PER,2019,BN.CAB.XOKA.CD,-2153562774.97199
PER,2018,BN.CAB.XOKA.CD,-3915465463.67627
PER,2017,BN.CAB.XOKA.CD,-2668579556.44603
PER,2016,BN.CAB.XOKA.CD,-5064403888.2989
PER,2015,BN.CAB.XOKA.CD,-9525850109.41212
PER,2014,BN.CAB.XOKA.CD,-9085914699.8323
PER,2013,BN.CAB.XOKA.CD,-10379598398.8522
PER,2012,BN.CAB.XOKA.CD,-6090964811.70695
PER,2011,BN.CAB.XOKA.CD,-3373782035.11819
PER,2010,BN.CAB.XOKA.CD,-3564433461.29145
PER,2009,BN.CAB.XOKA.CD,-722870310.65399
PER,2008,BN.CAB.XOKA.CD,-5317632556.54802
PER,2007,BN.CAB.XOKA.CD,1460344785.97979
PER,2006,BN.CAB.XOKA.CD,2872489024.18697
PER,2005,BN.CAB.XOKA.CD,1147610228.96893
PER,2004,BN.CAB.XOKA.CD,19286880.1631118
PER,2003,BN.CAB.XOKA.CD,-948531329.398338
PER,2002,BN.CAB.XOKA.CD,-1110307794.82469
PER,2001,BN.CAB.XOKA.CD,-1202811329.86012
PER,2000,BN.CAB.XOKA.CD,-1545828520.42069
PER,1999,BN.CAB.XOKA.CD,-1379913047.79369
PER,1998,BN.CAB.XOKA.CD,-3335969500.14466
PER,1997,BN.CAB.XOKA.CD,-3368043742.60918
PER,1996,BN.CAB.XOKA.CD,-3643879114.31176
PER,1995,BN.CAB.XOKA.CD,-4624539942.24631
PER,1994,BN.CAB.XOKA.CD,-2701265217.90082
PER,1993,BN.CAB.XOKA.CD,-2464292608.41377
PER,1992,BN.CAB.XOKA.CD,-1886000000
PER,1991,BN.CAB.XOKA.CD,-1504000000
PER,1990,BN.CAB.XOKA.CD,-1419000000
PER,1989,BN.CAB.XOKA.CD,-570450000
PER,1988,BN.CAB.XOKA.CD,-1818730000
PER,1987,BN.CAB.XOKA.CD,-2065420000
PER,1986,BN.CAB.XOKA.CD,-1393460000
PER,1985,BN.CAB.XOKA.CD,102000000
PER,1984,BN.CAB.XOKA.CD,-232508909.04
PER,1983,BN.CAB.XOKA.CD,-872002918.762852
PER,1982,BN.CAB.XOKA.CD,-1608820725.44293
PER,1981,BN.CAB.XOKA.CD,-1727762540.0045
PER,1980,BN.CAB.XOKA.CD,-101100000
PER,1979,BN.CAB.XOKA.CD,729500000
PER,1978,BN.CAB.XOKA.CD,-192900000
PER,1977,BN.CAB.XOKA.CD,-922700000
PER,2020,BX.GSR.TOTL.CD,47687737383.4314
PER,2019,BX.GSR.TOTL.CD,57480680931.0086
PER,2018,BX.GSR.TOTL.CD,57420612957.6483
PER,2017,BX.GSR.TOTL.CD,54046955516.512
PER,2016,BX.GSR.TOTL.CD,44341685588.7815
PER,2015,BX.GSR.TOTL.CD,41400921744.4829
PER,2014,BX.GSR.TOTL.CD,46342588622.6576
PER,2013,BX.GSR.TOTL.CD,49174629789.3782
PER,2012,BX.GSR.TOTL.CD,52699997729.8163
PER,2011,BX.GSR.TOTL.CD,51030230969.5051
PER,2010,BX.GSR.TOTL.CD,40220992459.9993
PER,2009,BX.GSR.TOTL.CD,31800578525.751
PER,2008,BX.GSR.TOTL.CD,36143636934.2045
PER,2007,BX.GSR.TOTL.CD,32510579715.8574
PER,2006,BX.GSR.TOTL.CD,27175380429.4142
PER,2005,BX.GSR.TOTL.CD,20006325094.5041
PER,2004,BX.GSR.TOTL.CD,14920374753.1807
PER,2003,BX.GSR.TOTL.CD,10940721123.5707
PER,2002,BX.GSR.TOTL.CD,9274232852.81289
PER,2001,BX.GSR.TOTL.CD,8826979722.87572
PER,2000,BX.GSR.TOTL.CD,8941712970.17398
PER,1999,BX.GSR.TOTL.CD,8111055373.49036
PER,1998,BX.GSR.TOTL.CD,7997401966.84371
PER,1997,BX.GSR.TOTL.CD,8844021518.82809
PER,1996,BX.GSR.TOTL.CD,7729187597.11947
PER,1995,BX.GSR.TOTL.CD,6897158665.8662
PER,1994,BX.GSR.TOTL.CD,5641170275.91182
PER,1993,BX.GSR.TOTL.CD,4243830833.78577
PER,1992,BX.GSR.TOTL.CD,4605000000
PER,1991,BX.GSR.TOTL.CD,4423000000
PER,1990,BX.GSR.TOTL.CD,4287000000
PER,1989,BX.GSR.TOTL.CD,4564290000
PER,1988,BX.GSR.TOTL.CD,3685710000
PER,1987,BX.GSR.TOTL.CD,3627830000
PER,1986,BX.GSR.TOTL.CD,3410520000
PER,1985,BX.GSR.TOTL.CD,3965000000
PER,1984,BX.GSR.TOTL.CD,3974000000
PER,1983,BX.GSR.TOTL.CD,3842000000
PER,1982,BX.GSR.TOTL.CD,4186000000
PER,1981,BX.GSR.TOTL.CD,4223000000
PER,1980,BX.GSR.TOTL.CD,4832300000
PER,1979,BX.GSR.TOTL.CD,4142700000
PER,1978,BX.GSR.TOTL.CD,2415500000
PER,1977,BX.GSR.TOTL.CD,2143900000
