Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
PER,2019,GFDD.AI.01,979.1139
PER,2018,GFDD.AI.01,910.5529
PER,2017,GFDD.AI.01,866.7918
PER,2016,GFDD.AI.01,840.3352
PER,2015,GFDD.AI.01,771.7598
PER,2014,GFDD.AI.01,708.2886
PER,2013,GFDD.AI.01,620.6276
PER,2012,GFDD.AI.01,547.0976
PER,2011,GFDD.AI.01,480.1184
PER,2010,GFDD.AI.01,426.3797
PER,2009,GFDD.AI.01,373.3022
PER,2008,GFDD.AI.01,370.1372
PER,2007,GFDD.AI.01,309.1994
PER,2006,GFDD.AI.01,266.4357
PER,2005,GFDD.AI.01,234.617
PER,2004,GFDD.AI.01,336.1886
PER,2019,GFDD.AI.02,6.559643
PER,2018,GFDD.AI.02,7.215963
PER,2017,GFDD.AI.02,7.601017
PER,2016,GFDD.AI.02,8.103768
PER,2015,GFDD.AI.02,8.373629
PER,2014,GFDD.AI.02,8.246125
PER,2013,GFDD.AI.02,7.940956
PER,2012,GFDD.AI.02,7.792128
PER,2011,GFDD.AI.02,7.174109
PER,2010,GFDD.AI.02,6.919065
PER,2009,GFDD.AI.02,6.822731
PER,2008,GFDD.AI.02,6.711805
PER,2007,GFDD.AI.02,5.192141
PER,2006,GFDD.AI.02,4.516333
PER,2005,GFDD.AI.02,4.340864
PER,2004,GFDD.AI.02,4.20895
PER,2017,GFDD.AI.03,77.8
PER,2010,GFDD.AI.03,66.8
PER,2006,GFDD.AI.03,69.9
