Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
PER,2020,SH.DTH.IMRT,5710
PER,2019,SH.DTH.IMRT,5916
PER,2018,SH.DTH.IMRT,6132
PER,2017,SH.DTH.IMRT,6374
PER,2016,SH.DTH.IMRT,6632
PER,2015,SH.DTH.IMRT,6923
PER,2014,SH.DTH.IMRT,7261
PER,2013,SH.DTH.IMRT,7651
PER,2012,SH.DTH.IMRT,8113
PER,2011,SH.DTH.IMRT,8646
PER,2010,SH.DTH.IMRT,9227
PER,2009,SH.DTH.IMRT,9858
PER,2008,SH.DTH.IMRT,10525
PER,2007,SH.DTH.IMRT,11213
PER,2006,SH.DTH.IMRT,11924
PER,2005,SH.DTH.IMRT,12665
PER,2004,SH.DTH.IMRT,13470
PER,2003,SH.DTH.IMRT,14360
PER,2002,SH.DTH.IMRT,15389
PER,2001,SH.DTH.IMRT,16582
PER,2000,SH.DTH.IMRT,17990
PER,1999,SH.DTH.IMRT,19600
PER,1998,SH.DTH.IMRT,21424
PER,1997,SH.DTH.IMRT,23384
PER,1996,SH.DTH.IMRT,25468
PER,1995,SH.DTH.IMRT,27648
PER,1994,SH.DTH.IMRT,29847
PER,1993,SH.DTH.IMRT,32031
PER,1992,SH.DTH.IMRT,34146
PER,1991,SH.DTH.IMRT,36151
PER,1990,SH.DTH.IMRT,38010
PER,1989,SH.DTH.IMRT,39759
PER,1988,SH.DTH.IMRT,41483
PER,1987,SH.DTH.IMRT,43249
PER,1986,SH.DTH.IMRT,44997
PER,1985,SH.DTH.IMRT,46662
PER,1984,SH.DTH.IMRT,48177
PER,1983,SH.DTH.IMRT,49435
PER,1982,SH.DTH.IMRT,50432
PER,1981,SH.DTH.IMRT,51197
PER,1980,SH.DTH.IMRT,51787
PER,1979,SH.DTH.IMRT,52279
PER,1978,SH.DTH.IMRT,52712
PER,1977,SH.DTH.IMRT,53170
PER,1976,SH.DTH.IMRT,53734
PER,1975,SH.DTH.IMRT,54413
PER,1974,SH.DTH.IMRT,55170
PER,1973,SH.DTH.IMRT,55937
PER,1972,SH.DTH.IMRT,56655
PER,1971,SH.DTH.IMRT,57225
PER,1970,SH.DTH.IMRT,63498
PER,1969,SH.DTH.IMRT,58530
PER,1968,SH.DTH.IMRT,59126
PER,1967,SH.DTH.IMRT,59756
PER,1966,SH.DTH.IMRT,60433
PER,1965,SH.DTH.IMRT,61140
PER,1964,SH.DTH.IMRT,61782
PER,1963,SH.DTH.IMRT,62338
PER,1962,SH.DTH.IMRT,62723
PER,1961,SH.DTH.IMRT,62973
PER,1960,SH.DTH.IMRT,63039
PER,2020,SH.DTH.MORT,7351
PER,2019,SH.DTH.MORT,7615
PER,2018,SH.DTH.MORT,7896
PER,2017,SH.DTH.MORT,8218
PER,2016,SH.DTH.MORT,8567
PER,2015,SH.DTH.MORT,8962
PER,2014,SH.DTH.MORT,9417
PER,2013,SH.DTH.MORT,9933
PER,2012,SH.DTH.MORT,10532
PER,2011,SH.DTH.MORT,11211
PER,2010,SH.DTH.MORT,11939
PER,2009,SH.DTH.MORT,12724
PER,2008,SH.DTH.MORT,13555
PER,2007,SH.DTH.MORT,14420
PER,2006,SH.DTH.MORT,15326
PER,2005,SH.DTH.MORT,16288
PER,2004,SH.DTH.MORT,17355
PER,2003,SH.DTH.MORT,18562
PER,2002,SH.DTH.MORT,19977
PER,2001,SH.DTH.MORT,21625
PER,2000,SH.DTH.MORT,23581
PER,1999,SH.DTH.MORT,25852
PER,1998,SH.DTH.MORT,28428
PER,1997,SH.DTH.MORT,31286
PER,1996,SH.DTH.MORT,34382
PER,1995,SH.DTH.MORT,37651
PER,1994,SH.DTH.MORT,41008
PER,1993,SH.DTH.MORT,44376
PER,1992,SH.DTH.MORT,47660
PER,1991,SH.DTH.MORT,50800
PER,1990,SH.DTH.MORT,53748
PER,1989,SH.DTH.MORT,56566
PER,1988,SH.DTH.MORT,59400
PER,1987,SH.DTH.MORT,62374
PER,1986,SH.DTH.MORT,65392
PER,1985,SH.DTH.MORT,68348
PER,1984,SH.DTH.MORT,71128
PER,1983,SH.DTH.MORT,73508
PER,1982,SH.DTH.MORT,75453
PER,1981,SH.DTH.MORT,76997
PER,1980,SH.DTH.MORT,78218
PER,1979,SH.DTH.MORT,79244
PER,1978,SH.DTH.MORT,80149
PER,1977,SH.DTH.MORT,81101
PER,1976,SH.DTH.MORT,82241
PER,1975,SH.DTH.MORT,83600
PER,1974,SH.DTH.MORT,85062
PER,1973,SH.DTH.MORT,86582
PER,1972,SH.DTH.MORT,88024
PER,1971,SH.DTH.MORT,89298
PER,1970,SH.DTH.MORT,107819
PER,1969,SH.DTH.MORT,92289
PER,1968,SH.DTH.MORT,93626
PER,1967,SH.DTH.MORT,95038
PER,1966,SH.DTH.MORT,96556
PER,1965,SH.DTH.MORT,98160
PER,1964,SH.DTH.MORT,99673
PER,1963,SH.DTH.MORT,101068
PER,1962,SH.DTH.MORT,102168
PER,1961,SH.DTH.MORT,103040
PER,1960,SH.DTH.MORT,103563
PER,2020,SH.DTH.NMRT,3858
PER,2019,SH.DTH.NMRT,4002
PER,2018,SH.DTH.NMRT,4140
PER,2017,SH.DTH.NMRT,4278
PER,2016,SH.DTH.NMRT,4422
PER,2015,SH.DTH.NMRT,4579
PER,2014,SH.DTH.NMRT,4768
PER,2013,SH.DTH.NMRT,4981
PER,2012,SH.DTH.NMRT,5230
PER,2011,SH.DTH.NMRT,5513
PER,2010,SH.DTH.NMRT,5825
PER,2009,SH.DTH.NMRT,6157
PER,2008,SH.DTH.NMRT,6510
PER,2007,SH.DTH.NMRT,6883
PER,2006,SH.DTH.NMRT,7243
PER,2005,SH.DTH.NMRT,7580
PER,2004,SH.DTH.NMRT,7910
PER,2003,SH.DTH.NMRT,8280
PER,2002,SH.DTH.NMRT,8727
PER,2001,SH.DTH.NMRT,9305
PER,2000,SH.DTH.NMRT,9917
PER,1999,SH.DTH.NMRT,10554
PER,1998,SH.DTH.NMRT,11339
PER,1997,SH.DTH.NMRT,12237
PER,1996,SH.DTH.NMRT,13227
PER,1995,SH.DTH.NMRT,14253
PER,1994,SH.DTH.NMRT,15290
PER,1993,SH.DTH.NMRT,16286
PER,1992,SH.DTH.NMRT,17202
PER,1991,SH.DTH.NMRT,18059
PER,1990,SH.DTH.NMRT,18858
PER,1989,SH.DTH.NMRT,19608
PER,1988,SH.DTH.NMRT,20350
PER,1987,SH.DTH.NMRT,21059
PER,1986,SH.DTH.NMRT,21707
PER,1985,SH.DTH.NMRT,22267
PER,1984,SH.DTH.NMRT,22703
PER,1983,SH.DTH.NMRT,22984
PER,1982,SH.DTH.NMRT,23130
PER,1981,SH.DTH.NMRT,23164
PER,1980,SH.DTH.NMRT,23185
PER,1979,SH.DTH.NMRT,23189
PER,1978,SH.DTH.NMRT,23244
PER,1977,SH.DTH.NMRT,23356
PER,1976,SH.DTH.NMRT,23529
PER,1975,SH.DTH.NMRT,23807
PER,1974,SH.DTH.NMRT,24151
PER,1973,SH.DTH.NMRT,24528
PER,1972,SH.DTH.NMRT,24918
PER,1971,SH.DTH.NMRT,25320
PER,1970,SH.DTH.NMRT,26014
PER,1969,SH.DTH.NMRT,26111
PER,1968,SH.DTH.NMRT,26458
PER,1967,SH.DTH.NMRT,26667
PER,1966,SH.DTH.NMRT,26798
PER,1965,SH.DTH.NMRT,26905
PER,1964,SH.DTH.NMRT,26974
PER,1963,SH.DTH.NMRT,27028
PER,1962,SH.DTH.NMRT,27016
PER,1961,SH.DTH.NMRT,26977
PER,1960,SH.DTH.NMRT,26827
