Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
PER,2020,SE.PRM.ENRR,120.98461151123
PER,2019,SE.PRM.ENRR,113.477226257324
PER,2018,SE.PRM.ENRR,106.945121765137
PER,2017,SE.PRM.ENRR,103.519569396973
PER,2016,SE.PRM.ENRR,103.060279846191
PER,2015,SE.PRM.ENRR,100.236846923828
PER,2014,SE.PRM.ENRR,101.135673522949
PER,2013,SE.PRM.ENRR,103.742950439453
PER,2012,SE.PRM.ENRR,102.40934753418
PER,2011,SE.PRM.ENRR,108.012260437012
PER,2010,SE.PRM.ENRR,109.869888305664
PER,2009,SE.PRM.ENRR,110.165840148926
PER,2008,SE.PRM.ENRR,111.398933410645
PER,2007,SE.PRM.ENRR,114.34937286377
PER,2006,SE.PRM.ENRR,113.914527893066
PER,2005,SE.PRM.ENRR,113.726722717285
PER,2004,SE.PRM.ENRR,113.853897094727
PER,2003,SE.PRM.ENRR,114.60994720459
PER,2002,SE.PRM.ENRR,116.166999816895
PER,2001,SE.PRM.ENRR,116.737243652344
PER,2000,SE.PRM.ENRR,117.18726348877
PER,1999,SE.PRM.ENRR,117.316757202148
PER,1998,SE.PRM.ENRR,116.286682128906
PER,1997,SE.PRM.ENRR,113.373550415039
PER,1996,SE.PRM.ENRR,114.399017333984
PER,1995,SE.PRM.ENRR,114.949020385742
PER,1994,SE.PRM.ENRR,113.694747924805
PER,1993,SE.PRM.ENRR,111.975059509277
PER,1992,SE.PRM.ENRR,111.018096923828
PER,1991,SE.PRM.ENRR,113.540008544922
PER,1990,SE.PRM.ENRR,114.965919494629
PER,1989,SE.PRM.ENRR,114.717849731445
PER,1988,SE.PRM.ENRR,114.398696899414
PER,1987,SE.PRM.ENRR,114.112442016602
PER,1986,SE.PRM.ENRR,113.792030334473
PER,1985,SE.PRM.ENRR,118.895812988281
PER,1984,SE.PRM.ENRR,112.995567321777
PER,1983,SE.PRM.ENRR,112.761383056641
PER,1982,SE.PRM.ENRR,114.166809082031
PER,1981,SE.PRM.ENRR,110.833610534668
PER,1980,SE.PRM.ENRR,109.932083129883
PER,1979,SE.PRM.ENRR,110.479843139648
PER,1978,SE.PRM.ENRR,112.018920898438
PER,1977,SE.PRM.ENRR,111.900672912598
PER,1976,SE.PRM.ENRR,112.310218811035
PER,1975,SE.PRM.ENRR,110.168533325195
PER,1974,SE.PRM.ENRR,108.523048400879
PER,1973,SE.PRM.ENRR,107.072372436523
PER,1972,SE.PRM.ENRR,104.442497253418
PER,1971,SE.PRM.ENRR,103.966857910156
PER,1970,SE.PRM.ENRR,103.302810668945
PER,2019,SP.DYN.LE00.IN,76.736
PER,2018,SP.DYN.LE00.IN,76.516
PER,2017,SP.DYN.LE00.IN,76.286
PER,2016,SP.DYN.LE00.IN,76.044
PER,2015,SP.DYN.LE00.IN,75.792
PER,2014,SP.DYN.LE00.IN,75.529
PER,2013,SP.DYN.LE00.IN,75.258
PER,2012,SP.DYN.LE00.IN,74.981
PER,2011,SP.DYN.LE00.IN,74.697
PER,2010,SP.DYN.LE00.IN,74.41
PER,2009,SP.DYN.LE00.IN,74.12
PER,2008,SP.DYN.LE00.IN,73.826
PER,2007,SP.DYN.LE00.IN,73.528
PER,2006,SP.DYN.LE00.IN,73.222
PER,2005,SP.DYN.LE00.IN,72.908
PER,2004,SP.DYN.LE00.IN,72.581
PER,2003,SP.DYN.LE00.IN,72.24
PER,2002,SP.DYN.LE00.IN,71.882
PER,2001,SP.DYN.LE00.IN,71.505
PER,2000,SP.DYN.LE00.IN,71.111
PER,1999,SP.DYN.LE00.IN,70.7
PER,1998,SP.DYN.LE00.IN,70.274
PER,1997,SP.DYN.LE00.IN,69.834
PER,1996,SP.DYN.LE00.IN,69.378
PER,1995,SP.DYN.LE00.IN,68.903
PER,1994,SP.DYN.LE00.IN,68.405
PER,1993,SP.DYN.LE00.IN,67.88
PER,1992,SP.DYN.LE00.IN,67.33
PER,1991,SP.DYN.LE00.IN,66.757
PER,1990,SP.DYN.LE00.IN,66.165
PER,1989,SP.DYN.LE00.IN,65.56
PER,1988,SP.DYN.LE00.IN,64.949
PER,1987,SP.DYN.LE00.IN,64.338
PER,1986,SP.DYN.LE00.IN,63.731
PER,1985,SP.DYN.LE00.IN,63.132
PER,1984,SP.DYN.LE00.IN,62.542
PER,1983,SP.DYN.LE00.IN,61.958
PER,1982,SP.DYN.LE00.IN,61.378
PER,1981,SP.DYN.LE00.IN,60.804
PER,1980,SP.DYN.LE00.IN,60.24
PER,1979,SP.DYN.LE00.IN,59.691
PER,1978,SP.DYN.LE00.IN,59.158
PER,1977,SP.DYN.LE00.IN,58.636
PER,1976,SP.DYN.LE00.IN,58.114
PER,1975,SP.DYN.LE00.IN,57.575
PER,1974,SP.DYN.LE00.IN,56.994
PER,1973,SP.DYN.LE00.IN,56.36
PER,1972,SP.DYN.LE00.IN,55.671
PER,1971,SP.DYN.LE00.IN,54.935
PER,1970,SP.DYN.LE00.IN,54.174
PER,1969,SP.DYN.LE00.IN,53.42
PER,1968,SP.DYN.LE00.IN,52.702
PER,1967,SP.DYN.LE00.IN,52.038
PER,1966,SP.DYN.LE00.IN,51.432
PER,1965,SP.DYN.LE00.IN,50.872
PER,1964,SP.DYN.LE00.IN,50.334
PER,1963,SP.DYN.LE00.IN,49.792
PER,1962,SP.DYN.LE00.IN,49.224
PER,1961,SP.DYN.LE00.IN,48.628
PER,1960,SP.DYN.LE00.IN,48.012
PER,2020,SP.POP.TOTL,32971846
PER,2019,SP.POP.TOTL,32510462
PER,2018,SP.POP.TOTL,31989265
PER,2017,SP.POP.TOTL,31444299
PER,2016,SP.POP.TOTL,30926036
PER,2015,SP.POP.TOTL,30470739
PER,2014,SP.POP.TOTL,30090372
PER,2013,SP.POP.TOTL,29773986
PER,2012,SP.POP.TOTL,29506790
PER,2011,SP.POP.TOTL,29264314
PER,2010,SP.POP.TOTL,29027680
PER,2009,SP.POP.TOTL,28792663
PER,2008,SP.POP.TOTL,28562321
PER,2007,SP.POP.TOTL,28333050
PER,2006,SP.POP.TOTL,28102055
PER,2005,SP.POP.TOTL,27866140
PER,2004,SP.POP.TOTL,27624226
PER,2003,SP.POP.TOTL,27372217
PER,2002,SP.POP.TOTL,27100964
PER,2001,SP.POP.TOTL,26799289
PER,2000,SP.POP.TOTL,26459944
PER,1999,SP.POP.TOTL,26078295
PER,1998,SP.POP.TOTL,25658070
PER,1997,SP.POP.TOTL,25210957
PER,1996,SP.POP.TOTL,24753825
PER,1995,SP.POP.TOTL,24299168
PER,1994,SP.POP.TOTL,23851405
PER,1993,SP.POP.TOTL,23408135
PER,1992,SP.POP.TOTL,22966822
PER,1991,SP.POP.TOTL,22522383
PER,1990,SP.POP.TOTL,22071433
PER,1989,SP.POP.TOTL,21614193
PER,1988,SP.POP.TOTL,21153462
PER,1987,SP.POP.TOTL,20691285
PER,1986,SP.POP.TOTL,20230385
PER,1985,SP.POP.TOTL,19772871
PER,1984,SP.POP.TOTL,19319746
PER,1983,SP.POP.TOTL,18870988
PER,1982,SP.POP.TOTL,18426420
PER,1981,SP.POP.TOTL,17985398
PER,1980,SP.POP.TOTL,17547612
PER,1979,SP.POP.TOTL,17113393
PER,1978,SP.POP.TOTL,16683451
PER,1977,SP.POP.TOTL,16258323
PER,1976,SP.POP.TOTL,15838568
PER,1975,SP.POP.TOTL,15424745
PER,1974,SP.POP.TOTL,15017060
PER,1973,SP.POP.TOTL,14615847
PER,1972,SP.POP.TOTL,14221954
PER,1971,SP.POP.TOTL,13836365
PER,1970,SP.POP.TOTL,13459789
PER,1969,SP.POP.TOTL,13092846
PER,1968,SP.POP.TOTL,12735491
PER,1967,SP.POP.TOTL,12386868
PER,1966,SP.POP.TOTL,12045783
PER,1965,SP.POP.TOTL,11711402
PER,1964,SP.POP.TOTL,11383364
PER,1963,SP.POP.TOTL,11062295
PER,1962,SP.POP.TOTL,10749463
PER,1961,SP.POP.TOTL,10446618
PER,1960,SP.POP.TOTL,10155011
PER,2020,SP.POP.TOTL,32971846
PER,2019,SP.POP.TOTL,32510462
PER,2018,SP.POP.TOTL,31989265
PER,2017,SP.POP.TOTL,31444299
PER,2016,SP.POP.TOTL,30926036
PER,2015,SP.POP.TOTL,30470739
PER,2014,SP.POP.TOTL,30090372
PER,2013,SP.POP.TOTL,29773986
PER,2012,SP.POP.TOTL,29506790
PER,2011,SP.POP.TOTL,29264314
PER,2010,SP.POP.TOTL,29027680
PER,2009,SP.POP.TOTL,28792663
PER,2008,SP.POP.TOTL,28562321
PER,2007,SP.POP.TOTL,28333050
PER,2006,SP.POP.TOTL,28102055
PER,2005,SP.POP.TOTL,27866140
PER,2004,SP.POP.TOTL,27624226
PER,2003,SP.POP.TOTL,27372217
PER,2002,SP.POP.TOTL,27100964
PER,2001,SP.POP.TOTL,26799289
PER,2000,SP.POP.TOTL,26459944
PER,1999,SP.POP.TOTL,26078295
PER,1998,SP.POP.TOTL,25658070
PER,1997,SP.POP.TOTL,25210957
PER,1996,SP.POP.TOTL,24753825
PER,1995,SP.POP.TOTL,24299168
PER,1994,SP.POP.TOTL,23851405
PER,1993,SP.POP.TOTL,23408135
PER,1992,SP.POP.TOTL,22966822
PER,1991,SP.POP.TOTL,22522383
PER,1990,SP.POP.TOTL,22071433
PER,1989,SP.POP.TOTL,21614193
PER,1988,SP.POP.TOTL,21153462
PER,1987,SP.POP.TOTL,20691285
PER,1986,SP.POP.TOTL,20230385
PER,1985,SP.POP.TOTL,19772871
PER,1984,SP.POP.TOTL,19319746
PER,1983,SP.POP.TOTL,18870988
PER,1982,SP.POP.TOTL,18426420
PER,1981,SP.POP.TOTL,17985398
PER,1980,SP.POP.TOTL,17547612
PER,1979,SP.POP.TOTL,17113393
PER,1978,SP.POP.TOTL,16683451
PER,1977,SP.POP.TOTL,16258323
PER,1976,SP.POP.TOTL,15838568
PER,1975,SP.POP.TOTL,15424745
PER,1974,SP.POP.TOTL,15017060
PER,1973,SP.POP.TOTL,14615847
PER,1972,SP.POP.TOTL,14221954
PER,1971,SP.POP.TOTL,13836365
PER,1970,SP.POP.TOTL,13459789
PER,1969,SP.POP.TOTL,13092846
PER,1968,SP.POP.TOTL,12735491
PER,1967,SP.POP.TOTL,12386868
PER,1966,SP.POP.TOTL,12045783
PER,1965,SP.POP.TOTL,11711402
PER,1964,SP.POP.TOTL,11383364
PER,1963,SP.POP.TOTL,11062295
PER,1962,SP.POP.TOTL,10749463
PER,1961,SP.POP.TOTL,10446618
PER,1960,SP.POP.TOTL,10155011
