Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
PER,2019,IP.IDS.NRCT,249
PER,2018,IP.IDS.NRCT,247
PER,2017,IP.IDS.NRCT,257
PER,2016,IP.IDS.NRCT,201
PER,2015,IP.IDS.NRCT,227
PER,2014,IP.IDS.NRCT,215
PER,2013,IP.IDS.NRCT,366
PER,2012,IP.IDS.NRCT,306
PER,2011,IP.IDS.NRCT,248
PER,2010,IP.IDS.NRCT,253
PER,2009,IP.IDS.NRCT,194
PER,2008,IP.IDS.NRCT,258
PER,2007,IP.IDS.NRCT,160
PER,2006,IP.IDS.NRCT,175
PER,2005,IP.IDS.NRCT,164
PER,2004,IP.IDS.NRCT,145
PER,2003,IP.IDS.NRCT,75
PER,2002,IP.IDS.NRCT,90
PER,2001,IP.IDS.NRCT,84
PER,2000,IP.IDS.NRCT,91
PER,1999,IP.IDS.NRCT,86
PER,1997,IP.IDS.NRCT,81
PER,1996,IP.IDS.NRCT,91
PER,1994,IP.IDS.NRCT,35
PER,1993,IP.IDS.NRCT,32
PER,1992,IP.IDS.NRCT,26
PER,1991,IP.IDS.NRCT,26
PER,1990,IP.IDS.NRCT,33
PER,1988,IP.IDS.NRCT,22
PER,1987,IP.IDS.NRCT,22
PER,1986,IP.IDS.NRCT,43
PER,1985,IP.IDS.NRCT,44
PER,1983,IP.IDS.NRCT,41
PER,1982,IP.IDS.NRCT,42
PER,1981,IP.IDS.NRCT,51
PER,1980,IP.IDS.NRCT,19
PER,2019,IP.IDS.RSCT,133
PER,2018,IP.IDS.RSCT,134
PER,2017,IP.IDS.RSCT,92
PER,2016,IP.IDS.RSCT,102
PER,2015,IP.IDS.RSCT,131
PER,2014,IP.IDS.RSCT,104
PER,2013,IP.IDS.RSCT,133
PER,2012,IP.IDS.RSCT,101
PER,2011,IP.IDS.RSCT,86
PER,2010,IP.IDS.RSCT,124
PER,2009,IP.IDS.RSCT,106
PER,2008,IP.IDS.RSCT,84
PER,2007,IP.IDS.RSCT,59
PER,2006,IP.IDS.RSCT,63
PER,2005,IP.IDS.RSCT,63
PER,2004,IP.IDS.RSCT,61
PER,2003,IP.IDS.RSCT,102
PER,2002,IP.IDS.RSCT,76
PER,2001,IP.IDS.RSCT,97
PER,2000,IP.IDS.RSCT,91
PER,1999,IP.IDS.RSCT,73
PER,1997,IP.IDS.RSCT,111
PER,1996,IP.IDS.RSCT,115
PER,1994,IP.IDS.RSCT,86
PER,1993,IP.IDS.RSCT,42
PER,1992,IP.IDS.RSCT,28
PER,1991,IP.IDS.RSCT,48
PER,1990,IP.IDS.RSCT,56
PER,1988,IP.IDS.RSCT,67
PER,1987,IP.IDS.RSCT,77
PER,1986,IP.IDS.RSCT,66
PER,1985,IP.IDS.RSCT,81
PER,1983,IP.IDS.RSCT,69
PER,1982,IP.IDS.RSCT,98
PER,1981,IP.IDS.RSCT,105
PER,1980,IP.IDS.RSCT,75
PER,2019,IP.TMK.NRCT,12853
PER,2018,IP.TMK.NRCT,12935
PER,2017,IP.TMK.NRCT,11496
PER,2016,IP.TMK.NRCT,11352
PER,2015,IP.TMK.NRCT,12393
PER,2014,IP.TMK.NRCT,11979
PER,2013,IP.TMK.NRCT,12484
PER,2012,IP.TMK.NRCT,11464
PER,2010,IP.TMK.NRCT,10035
